/home/akshay/.local/lib/python3.10/site-packages/torch/cuda/__init__.py:107: UserWarning: CUDA initialization: The NVIDIA driver on your system is too old (found version 9010). Please update your GPU driver by downloading and installing a new version from the URL: http://www.nvidia.com/Download/index.aspx Alternatively, go to: https://pytorch.org to install a PyTorch version that has been compiled with your version of the CUDA driver. (Triggered internally at ../c10/cuda/CUDAFunctions.cpp:109.)
  return torch._C._cuda_getDeviceCount() > 0
SPS: 1185
global_step=164000, episodic_return=[1050.396]
global_step=165000, episodic_return=[911.15845]
SPS: 1186
global_step=166000, episodic_return=[684.24414]
global_step=167000, episodic_return=[893.1845]
SPS: 1187
global_step=168000, episodic_return=[366.91724]
global_step=169000, episodic_return=[789.53314]
SPS: 1183
global_step=170000, episodic_return=[975.6201]
global_step=171000, episodic_return=[680.4342]
global_step=172000, episodic_return=[975.8906]
SPS: 1184
global_step=173000, episodic_return=[1009.2587]
global_step=174000, episodic_return=[1014.6853]
SPS: 1185
global_step=175000, episodic_return=[370.7659]
global_step=176000, episodic_return=[701.7944]
SPS: 1186
global_step=177000, episodic_return=[671.80084]
global_step=178000, episodic_return=[1043.8716]
SPS: 1184
global_step=179000, episodic_return=[982.48206]
global_step=180000, episodic_return=[155.1742]
SPS: 1185
global_step=181000, episodic_return=[772.0678]
global_step=182000, episodic_return=[1229.3223]
SPS: 1186
global_step=183000, episodic_return=[722.9694]
global_step=184000, episodic_return=[998.98456]
SPS: 1186
global_step=185000, episodic_return=[941.3256]
global_step=186000, episodic_return=[173.56244]
SPS: 1185
global_step=187000, episodic_return=[1174.6924]
global_step=188000, episodic_return=[1040.6869]
SPS: 1186
global_step=189000, episodic_return=[1289.9929]
global_step=190000, episodic_return=[1263.7063]
SPS: 1186
global_step=191000, episodic_return=[1194.0864]
global_step=192000, episodic_return=[1195.1244]
SPS: 1182
global_step=193000, episodic_return=[1150.8347]
global_step=194000, episodic_return=[706.54047]
SPS: 1183
global_step=195000, episodic_return=[1238.0876]
global_step=196000, episodic_return=[864.5195]
SPS: 1183
global_step=197000, episodic_return=[239.49104]
global_step=198000, episodic_return=[1162.1428]
SPS: 1184
global_step=199000, episodic_return=[1219.3091]
global_step=200000, episodic_return=[1077.6862]
SPS: 1183
global_step=201000, episodic_return=[1172.9637]
global_step=202000, episodic_return=[420.10107]
SPS: 1184
global_step=203000, episodic_return=[1219.2838]
global_step=204000, episodic_return=[180.83052]
SPS: 1185
global_step=205000, episodic_return=[959.1944]
global_step=206000, episodic_return=[1213.0144]
SPS: 1185
global_step=207000, episodic_return=[903.2219]
global_step=208000, episodic_return=[337.27213]
SPS: 1184
global_step=209000, episodic_return=[375.21103]
global_step=210000, episodic_return=[851.3845]
SPS: 1185
global_step=211000, episodic_return=[1078.4122]
global_step=212000, episodic_return=[851.93475]
SPS: 1186
global_step=213000, episodic_return=[808.42194]
global_step=214000, episodic_return=[1110.9233]
global_step=215000, episodic_return=[1189.4321]
SPS: 1183
global_step=216000, episodic_return=[372.4269]
global_step=217000, episodic_return=[855.903]
SPS: 1184
global_step=218000, episodic_return=[1364.3586]
global_step=219000, episodic_return=[956.01373]
SPS: 1185
global_step=220000, episodic_return=[380.13074]
global_step=221000, episodic_return=[623.7707]
SPS: 1186
global_step=222000, episodic_return=[641.23975]
global_step=223000, episodic_return=[403.24445]
SPS: 1184
global_step=224000, episodic_return=[1292.3002]
global_step=225000, episodic_return=[957.22675]
SPS: 1185
global_step=226000, episodic_return=[622.2397]
global_step=227000, episodic_return=[459.39685]
SPS: 1186
global_step=228000, episodic_return=[1179.2295]
global_step=229000, episodic_return=[462.23364]
SPS: 1186
global_step=230000, episodic_return=[1327.6448]
global_step=231000, episodic_return=[350.07193]
SPS: 1185
global_step=232000, episodic_return=[1288.04]
global_step=233000, episodic_return=[1406.8018]
SPS: 1186
global_step=234000, episodic_return=[494.4515]
global_step=235000, episodic_return=[1375.8021]
SPS: 1187
global_step=236000, episodic_return=[552.0436]
global_step=237000, episodic_return=[1355.2733]
SPS: 1185
global_step=238000, episodic_return=[1403.0271]
global_step=239000, episodic_return=[1316.0254]
SPS: 1185
global_step=240000, episodic_return=[1075.8708]
global_step=241000, episodic_return=[1456.0956]
SPS: 1186
global_step=242000, episodic_return=[812.056]
global_step=243000, episodic_return=[729.0564]
SPS: 1187
global_step=244000, episodic_return=[708.4507]
global_step=245000, episodic_return=[1417.9539]
SPS: 1184
global_step=246000, episodic_return=[995.28625]
global_step=247000, episodic_return=[1445.997]
SPS: 1185
global_step=248000, episodic_return=[1421.2426]
global_step=249000, episodic_return=[715.4217]
SPS: 1186
global_step=250000, episodic_return=[1273.4816]
global_step=251000, episodic_return=[1413.5377]
SPS: 1187
global_step=252000, episodic_return=[1410.4309]
global_step=253000, episodic_return=[1489.5184]
SPS: 1186
global_step=254000, episodic_return=[1271.3619]
global_step=255000, episodic_return=[1347.1415]
global_step=256000, episodic_return=[1040.8641]
SPS: 1186
global_step=257000, episodic_return=[1101.5134]
global_step=258000, episodic_return=[940.07855]
SPS: 1187
global_step=259000, episodic_return=[1499.5382]
global_step=260000, episodic_return=[1415.1871]
SPS: 1187
global_step=261000, episodic_return=[1404.9493]
global_step=262000, episodic_return=[1183.5435]
SPS: 1186
global_step=263000, episodic_return=[1494.6919]
global_step=264000, episodic_return=[1044.3887]
SPS: 1187
global_step=265000, episodic_return=[872.00006]
global_step=266000, episodic_return=[822.43555]
SPS: 1187
global_step=267000, episodic_return=[1714.9257]
global_step=268000, episodic_return=[1483.3901]
SPS: 1185
global_step=269000, episodic_return=[1432.2317]
global_step=270000, episodic_return=[1572.2098]
SPS: 1186
global_step=271000, episodic_return=[1550.8416]
global_step=272000, episodic_return=[1737.5309]
SPS: 1186
global_step=273000, episodic_return=[1534.29]
global_step=274000, episodic_return=[1779.1924]
SPS: 1187
global_step=275000, episodic_return=[1419.3884]
global_step=276000, episodic_return=[1506.2762]
SPS: 1186
global_step=277000, episodic_return=[1773.3876]
global_step=278000, episodic_return=[358.6318]
SPS: 1186
global_step=279000, episodic_return=[1353.7151]
global_step=280000, episodic_return=[1607.562]
SPS: 1187
global_step=281000, episodic_return=[1250.4379]
global_step=282000, episodic_return=[1467.0522]
SPS: 1187
global_step=283000, episodic_return=[1498.8375]
global_step=284000, episodic_return=[964.5719]
SPS: 1186
global_step=285000, episodic_return=[1693.5023]
global_step=286000, episodic_return=[1518.0942]
SPS: 1187
global_step=287000, episodic_return=[1182.4949]
global_step=288000, episodic_return=[1693.3228]
SPS: 1188
global_step=289000, episodic_return=[1653.3535]
global_step=290000, episodic_return=[1866.372]
SPS: 1186
global_step=291000, episodic_return=[1720.028]
global_step=292000, episodic_return=[1864.443]
SPS: 1186
global_step=293000, episodic_return=[1596.7133]
